date,avgtemp,evaporation,H,Q,rainfall
22/5/2008,26.6,2,446,3440,0
23/5/2008,27.6,2.4,529,3090,10.5
24/5/2008,28.7,2.4,505,2700,3.5
25/5/2008,28.9,3.4,490,2370,3.4
26/5/2008,29.4,2.5,428,1980,1.4
27/5/2008,31.2,3.8,438,2400,0
28/5/2008,31.4,5.2,428,2610,0
29/5/2008,31.2,3.5,427,2710,0
30/5/2008,27.9,3.4,454,2850,48.4
31/5/2008,25.9,1.8,460,2830,6.2
1/6/2008,26.7,2.4,460,2510,0.2
2/6/2008,27.1,1.6,490,2190,0
3/6/2008,27.8,3.6,526,2530,0
4/6/2008,27.8,2,610,3370,0
5/6/2008,27.2,2,617,3390,21.3
6/6/2008,27,1.9,592,3110,0
7/6/2008,28.1,2.6,630,2970,13.6
8/6/2008,28.5,2.3,687,2970,0.2
9/6/2008,28.9,3.8,659,2890,0
10/6/2008,27.8,2.4,618,3480,0.3
11/6/2008,28.3,2.3,627,3570,0.3
12/6/2008,28,2.5,642,3600,0
13/6/2008,28,2.3,616,3840,12.4
14/6/2008,27.5,2.1,636,4200,16.9
15/6/2008,29,2.2,659,4720,25.9
16/6/2008,28.1,1.7,709,4550,0
17/6/2008,28,1.3,809,4390,0
18/6/2008,26.6,1,925,4590,12.5
19/6/2008,26.5,1.2,953,5680,0.4
20/6/2008,27.9,2.6,932,6630,12.3
21/6/2008,28.9,2.5,900,6750,3.2
22/6/2008,30.8,3.1,843,6620,4.4
23/6/2008,31.7,3.8,813,6020,0
24/6/2008,28.8,3.6,819,5380,0.3
25/6/2008,30.7,4.2,816,5200,0
26/6/2008,31.5,4.3,804,5000,0
27/6/2008,27.9,2,797,4820,11.3
28/6/2008,25.5,1.1,799,5350,95.7
29/6/2008,27.9,3,800,6260,0
30/6/2008,29.9,2.6,832,6190,0
1/7/2008,28.9,2.6,849,5900,0
2/7/2008,29,2.6,832,6080,0
3/7/2008,28.9,2.4,830,6440,33.6
4/7/2008,30,3,864,6250,0
5/7/2008,29.7,2.1,882,7180,0
6/7/2008,26.2,1,917,8080,23
7/7/2008,28.6,2,931,9340,0
8/7/2008,27.3,1.9,922,10200,15.5
9/7/2008,29.2,2.2,920,9890,0
10/7/2008,29,2.6,931,8640,0.4
11/7/2008,29.9,2.7,930,7660,1.3
12/7/2008,27.2,1.8,942,7390,15.1
13/7/2008,28.4,2.2,1014,7370,0
14/7/2008,28.9,3,1060,7350,3.6
15/7/2008,29,2.3,1067,7370,0
16/7/2008,26.3,0.8,1052,7440,25.9
17/7/2008,26.1,0.8,1040,7920,36.1
18/7/2008,26.8,1.9,995,9110,21.7
19/7/2008,27.9,2.3,960,9960,0.1
20/7/2008,28.9,2.4,946,10100,11.6
21/7/2008,31,4.8,953,10100,0.1
22/7/2008,31.8,5.6,988,10000,0
23/7/2008,29.9,3,1007,9230,0
24/7/2008,27.3,0.9,1007,8540,3.2
25/7/2008,26.8,0.6,999,9460,5.8
26/7/2008,28.8,1.8,1011,11500,0
27/7/2008,30.1,2.8,985,12200,0
28/7/2008,30,2.8,918,11200,0.1
29/7/2008,29.7,3.6,848,9860,5
30/7/2008,30.5,3.5,814,9320,0
31/7/2008,29.8,1.6,794,9050,0
1/8/2008,27.7,1.2,781,7990,7.4
2/8/2008,27.1,0.8,910,7230,51.5
3/8/2008,29.2,1.8,948,6820,0
4/8/2008,29.7,1.9,911,6600,0
5/8/2008,29.6,2.8,914,6870,0
6/8/2008,30.6,3.6,904,7120,0
7/8/2008,27.5,1.8,868,7910,33.1
8/8/2008,26.6,1.2,905,8720,71.9
9/8/2008,27.3,1.1,990,11400,13.9
10/8/2008,26.1,0.6,1066,13700,22.5
11/8/2008,28.7,2.5,1126,14400,0
12/8/2008,28.4,2,1169,13800,0
13/8/2008,28.7,2.4,1210,12900,0
14/8/2008,29.5,2.6,1216,11800,0
15/8/2008,30.2,2.7,1135,11400,0
16/8/2008,31.2,2.8,1048,11000,0
17/8/2008,30.2,1.9,987,9690,0
18/8/2008,26.9,0.9,953,8080,0.4
19/8/2008,28.4,2,950,6900,0
20/8/2008,29,2.2,926,6180,30.6
21/8/2008,29.5,2.5,913,5820,0.1
22/8/2008,30.8,3,909,5550,0
23/8/2008,29.9,1.5,964,5400,0
24/8/2008,25.9,0.9,976,5210,2.4
25/8/2008,28.5,1.7,986,4990,2.5
26/8/2008,28.3,1.9,1082,5010,0
27/8/2008,28.5,2.4,1108,5580,0
28/8/2008,29.3,3.2,1084,6250,0
29/8/2008,30,2.4,1095,6800,0
30/8/2008,30.2,2.2,1132,7090,0
31/8/2008,26.4,1.2,1172,6620,23.1
1/9/2008,27.6,1.6,1185,7260,0
2/9/2008,28.5,2.3,1137,7410,0
3/9/2008,28.7,1.5,1051,6620,0
4/9/2008,25.5,0.9,953,6690,7.1
5/9/2008,26.7,1.5,887,7290,7.4
6/9/2008,25.6,0.6,861,7580,1.8
7/9/2008,26.9,1.4,845,7380,0.5
8/9/2008,27.8,2.6,831,6810,0
9/9/2008,27.6,2,811,6620,22.1
10/9/2008,26.2,1.8,803,7000,15.5
11/9/2008,27.9,3.1,798,6960,2
12/9/2008,27.1,2.7,778,6850,61.3
13/9/2008,27.6,1.7,777,5910,4.4
14/9/2008,27.9,3.1,771,5360,1.2
15/9/2008,29,3,778,5060,0
16/9/2008,29.3,2.9,793,4780,1.2
17/9/2008,29.6,2.8,791,4720,0
18/9/2008,29.7,2.8,771,4600,0
19/9/2008,29,2.7,916,4470,0
20/9/2008,28.7,2.3,1086,4390,4.5
21/9/2008,28,2.6,992,4300,0
22/9/2008,29.1,3.4,901,3980,0
23/9/2008,30.3,4.5,848,4110,0
24/9/2008,30,4.2,819,4260,0.5
25/9/2008,26,0.6,796,4410,21.2
26/9/2008,27.2,1.1,799,6020,11.7
27/9/2008,25.9,0.6,796,8570,48.6
28/9/2008,27,1.6,1026,9900,1.1
29/9/2008,28,3.1,1142,9010,0
30/9/2008,24.7,1.7,1036,7430,5.6
1/10/2008,24.7,2.3,954,6310,2.4
2/10/2008,27.4,3.3,924,5780,0
3/10/2008,28.1,2.3,883,5460,0
4/10/2008,28.5,2.5,849,5160,0
5/10/2008,24.5,1.8,828,5160,38.3
6/10/2008,26.5,3.6,826,5830,0
7/10/2008,25.9,2.6,815,6200,0
8/10/2008,26.4,2.3,801,5560,0
9/10/2008,26.9,2.4,792,5070,0
10/10/2008,27.2,2.5,761,4860,0
11/10/2008,26.4,2.9,722,4710,2.1
12/10/2008,27.1,2.6,687,4580,0
13/10/2008,26.4,3.8,693,3950,0
14/10/2008,23.8,2,676,3700,1.8
15/10/2008,23.5,1.1,675,3550,5
16/10/2008,26.6,3.1,659,3590,0
17/10/2008,27.3,3,618,3590,0
18/10/2008,27.4,3.2,596,3510,0
19/10/2008,26.7,2,620,3260,0
20/10/2008,26.2,1.4,636,3000,7.6
21/10/2008,25.8,1.2,624,2990,8.4
22/10/2008,27.5,2.8,610,2960,0
23/10/2008,26.7,3.1,620,3100,20.8
24/10/2008,24.8,1.7,590,3540,4.4
25/10/2008,25.3,2.3,599,4730,0
26/10/2008,24.7,1,592,4600,48
27/10/2008,25.6,1.3,597,4220,30
28/10/2008,25.7,3,594,4430,0
29/10/2008,25.4,1.2,602,4700,6.5
30/10/2008,24.8,1.2,613,4760,9.9
31/10/2008,24,0.5,652,5260,215
1/11/2008,24.2,0.3,772,7620,90
2/11/2008,23.9,0.3,751,7600,85.3
3/11/2008,21.1,0.5,727,8280,16.4
4/11/2008,21.6,1,720,12500,5.7
5/11/2008,23.8,1.1,709,13900,0
6/11/2008,25.8,1.2,683,11800,0
7/11/2008,23.6,1.1,647,9990,27.6
8/11/2008,23,2.8,620,10100,1.2
9/11/2008,21.3,3.2,583,9340,0
10/11/2008,20.1,3.4,605,8020,0
11/11/2008,19.4,2.4,666,7190,0
12/11/2008,19,2.3,710,6640,0
13/11/2008,19.5,1.8,720,6090,0
14/11/2008,19.7,2.2,682,5670,0
15/11/2008,21.4,2.6,676,5280,0
16/11/2008,22.9,1.6,659,5160,0
17/11/2008,24.3,1.3,627,5080,0
18/11/2008,22.5,1.6,595,4850,0
19/11/2008,18.5,1.9,566,4430,0
20/11/2008,18.3,2.5,569,3990,0
21/11/2008,18.8,1.7,555,3940,0
22/11/2008,20.9,1.8,554,3820,0
23/11/2008,21.8,1.7,564,3570,0
24/11/2008,20.6,2.9,567,3600,0
25/11/2008,20.6,2.2,557,3740,0
26/11/2008,21.1,2.4,538,3570,0
27/11/2008,21.4,3.2,526,3050,0
28/11/2008,17.5,2.6,515,2770,0
29/11/2008,16.8,2.8,524,2700,0
30/11/2008,16.9,2.9,522,2750,0
1/12/2008,16.3,3.2,523,2790,0
2/12/2008,16.9,2.6,516,2830,0
3/12/2008,17.6,1.3,513,2910,0
4/12/2008,20.1,3,512,2950,0
5/12/2008,20.1,3.2,482,2870,0
6/12/2008,17.3,2.9,492,2780,0
7/12/2008,17.5,2.3,477,2740,0
8/12/2008,17.9,3.3,472,2350,0
9/12/2008,16.1,2.6,472,2320,0
10/12/2008,17.6,1.3,482,2390,0
11/12/2008,20.2,2.4,519,2470,0
12/12/2008,19,1.5,498,2370,0
13/12/2008,19.6,1.7,491,2230,0
14/12/2008,19.9,1.9,480,2140,0
15/12/2008,18.5,2.1,471,1990,0
16/12/2008,17.4,1.6,470,1930,0
17/12/2008,17.7,1.4,471,1920,0
18/12/2008,18.2,1.6,469,1840,0
19/12/2008,17.9,2.1,450,1870,0
20/12/2008,18,2,454,1830,0
21/12/2008,19.6,1.3,455,1710,0
22/12/2008,18.7,1,460,1520,2.8
23/12/2008,13.7,1.8,458,1600,0
24/12/2008,12.9,1.5,455,1700,0
25/12/2008,15.1,1,462,1910,0.1
26/12/2008,17,1.6,449,1820,0
27/12/2008,16.1,0.6,466,1780,5.9
28/12/2008,17.9,0.4,499,1830,0.1
29/12/2008,19.7,0.9,528,1790,1.9
30/12/2008,18.3,1.6,528,1800,0
31/12/2008,16.7,2.2,511,1770,0
1/1/2009,16,2.6,480,1810,0
2/1/2009,16.1,2.4,467,1710,0
3/1/2009,15.3,1.8,474,1760,0
4/1/2009,15.7,1.8,474,1760,0
5/1/2009,18.5,1.5,467,1710,0
6/1/2009,19.7,1.6,466,1700,0
7/1/2009,17.4,1.8,486,1860,0
8/1/2009,14.1,1.9,499,1970,0
9/1/2009,15,2.9,498,1960,0.6
10/1/2009,13.7,3.5,472,1750,0
11/1/2009,12.8,3,453,1590,0
12/1/2009,13.9,2.7,443,1520,0
13/1/2009,13.8,3.4,456,1620,0
14/1/2009,13.3,2.5,463,1670,0
15/1/2009,13.4,2.6,455,1610,0
16/1/2009,13.8,3,461,1660,0
17/1/2009,15.4,2.5,473,1750,0
18/1/2009,16.3,0.8,484,1840,0
19/1/2009,19.5,1.6,530,2240,0
20/1/2009,19.8,2.5,555,2460,0
21/1/2009,20.2,2.2,546,2380,0
22/1/2009,18.7,2.9,527,2210,0
23/1/2009,17.4,1.4,545,2370,7.1
24/1/2009,12.8,1.3,543,2350,0
25/1/2009,11.1,1.9,519,2140,0
26/1/2009,10.8,0.6,493,1920,4.7
27/1/2009,13,1,489,1880,0
28/1/2009,13.9,1.2,470,1730,0
29/1/2009,14.5,0.6,463,1670,4.7
30/1/2009,15.8,1.8,433,1440,0
31/1/2009,17.2,2,387,1110,0
1/2/2009,17.5,1.8,377,1040,0
2/2/2009,17,0.6,476,1780,0.7
3/2/2009,19.1,1,538,2310,0
4/2/2009,20.6,1.3,552,2430,1.1
5/2/2009,20.3,1.6,570,2600,0
6/2/2009,20.9,2.7,584,2720,0
7/2/2009,20.3,2.3,555,2460,0
8/2/2009,19.6,1.4,536,2290,0
9/2/2009,20.4,1.7,547,2390,0
10/2/2009,21.4,2.1,579,2680,0
11/2/2009,21.8,2.5,578,2670,0
12/2/2009,22,2,508,2040,0
13/2/2009,25.2,2.4,446,1540,0
14/2/2009,24.1,2.6,432,1440,0
15/2/2009,24.2,2.5,421,1350,0
16/2/2009,25.2,3.1,396,1170,0
17/2/2009,24.8,2.2,422,1360,0
18/2/2009,24,2.6,447,1550,0
19/2/2009,24.7,2.7,507,2030,0
20/2/2009,22.6,1.6,549,2410,0
21/2/2009,19.1,1.3,518,2130,0
22/2/2009,21.2,0.7,499,1970,0.4
23/2/2009,23.4,0.8,455,1610,1.1
24/2/2009,24.4,0.9,440,1500,0
25/2/2009,24.8,1.1,433,1440,0
26/2/2009,24.1,0.9,433,1440,0.1
27/2/2009,24.6,1.7,436,1470,0
28/2/2009,22.7,1,446,1540,0
1/3/2009,16.5,1,435,1460,1
2/3/2009,15.6,0.4,412,1290,0.4
3/3/2009,15.6,0.4,415,1310,0.2
4/3/2009,16.9,0.2,418,1330,2.9
5/3/2009,18.7,0.5,414,1300,1.1
6/3/2009,17.4,1.6,413,1290,0.2
7/3/2009,17,2.5,397,1180,0
8/3/2009,16.4,1.3,379,1050,0.4
9/3/2009,18.7,2,357,899,2.1
10/3/2009,18.9,2.6,389,1120,0
11/3/2009,21,1,423,1370,0
12/3/2009,22.3,0.6,424,1380,0.5
13/3/2009,21.8,0.7,424,1380,5.3
14/3/2009,16.7,2.2,422,1360,0.1
15/3/2009,16.7,2.7,381,1070,0
16/3/2009,18.4,1.4,355,885,0
17/3/2009,20.8,1.1,379,1050,0
18/3/2009,22.1,0.9,403,1220,0.1
19/3/2009,23.9,0.7,430,1420,0
20/3/2009,24.1,0.6,436,1470,1.6
21/3/2009,25.5,1.7,453,1590,0
22/3/2009,26.3,3,453,1590,0
23/3/2009,26.5,2.2,419,1340,0.3
24/3/2009,24.3,0.4,438,1480,0.3
25/3/2009,21.8,1,452,1590,0.3
26/3/2009,21,0.6,447,1550,0.9
27/3/2009,23.5,2.8,457,1630,33.3
28/3/2009,25.1,2.1,456,1620,1
29/3/2009,25.1,2.5,447,1550,0
30/3/2009,22,2.2,419,1340,0
31/3/2009,19.2,1.6,428,1410,0
1/4/2009,19,1.5,417,1320,0.3
2/4/2009,17.3,0.5,418,1330,22.3
3/4/2009,20.6,1,435,1460,0.5
4/4/2009,23,1,444,1530,0
5/4/2009,21.7,0.6,436,1470,15.4
6/4/2009,20.5,2.1,440,1500,0.1
7/4/2009,21,1.6,471,1740,4.1
8/4/2009,21.9,1.1,481,1820,0
9/4/2009,23.3,2.1,466,1700,0
10/4/2009,24.4,2.2,474,1760,0
11/4/2009,23.9,1,473,1750,7.3
12/4/2009,25.5,1.9,465,1690,0.4
13/4/2009,26.4,1.5,446,1540,0
14/4/2009,25.8,1.3,500,1980,13.9
15/4/2009,25.7,1.7,523,2170,0.1
16/4/2009,26.7,1.2,508,2040,0
17/4/2009,25.9,1.6,500,1980,0
18/4/2009,26.6,1.4,493,1920,0
19/4/2009,29.5,2,490,1890,0
20/4/2009,28,2.7,486,1860,4.8
21/4/2009,26.8,2.3,493,1920,0
22/4/2009,26.6,2.7,497,1950,0
23/4/2009,27.4,2,488,1870,0
24/4/2009,28.9,1.6,476,1780,0
25/4/2009,24.8,2.3,480,1810,12.1
26/4/2009,24.6,2,468,1710,0
27/4/2009,23.9,2.9,435,1460,0
28/4/2009,23.3,0.5,431,1430,2.5
29/4/2009,22.9,0.2,448,1560,6.2
30/4/2009,23.6,0.4,453,1590,5.7
1/5/2009,24.3,1.4,451,1580,0
2/5/2009,24.9,1.8,465,1690,0
3/5/2009,26.1,2.6,452,1590,0
4/5/2009,25.8,2,444,1530,0
5/5/2009,25.6,2.4,509,2050,0
6/5/2009,25,1.4,575,2640,0
7/5/2009,25.7,1.5,624,3120,7.8
8/5/2009,24.8,1,649,3370,31.1
9/5/2009,24.5,0.3,680,3710,15.8
10/5/2009,26.3,1.2,729,4280,0.2
11/5/2009,26.5,1.5,672,3610,38.5
12/5/2009,27.4,1.9,649,3370,0.2
13/5/2009,26.6,1.8,708,4030,0.3
14/5/2009,26.2,2,732,4320,6.7
15/5/2009,26.5,1.6,696,3890,18
16/5/2009,27.4,1.5,780,4940,2.7
17/5/2009,27.7,1.7,879,6370,17.4
18/5/2009,26.8,0.9,888,6510,3.2
19/5/2009,26.6,1.8,875,6310,0.3
20/5/2009,27.1,1.7,830,5630,5.2
21/5/2009,26.5,1.3,794,5130,1.2
22/5/2009,27.2,1.6,769,4790,0
23/5/2009,28.4,2.1,761,4680,0
24/5/2009,29.6,2.7,749,4530,0
25/5/2009,29.5,2.7,757,4630,0
26/5/2009,29.6,2.7,725,4230,0
27/5/2009,29.8,2.7,690,3820,0
28/5/2009,29.3,1.8,710,4050,0
29/5/2009,24.1,0.9,759,4660,25.8
30/5/2009,26.4,2.5,840,5780,0
31/5/2009,27.5,1.8,852,5960,0
1/6/2009,28.5,3,806,5290,0
2/6/2009,29.6,1.4,756,4620,12.8
3/6/2009,25.2,1.9,766,4750,24
4/6/2009,27.1,2.4,833,5680,0
5/6/2009,28.2,1.6,842,5810,0.3
6/6/2009,27.9,1.6,820,5490,0.9
7/6/2009,30.9,1.9,795,5140,0
8/6/2009,32.4,5.2,776,4880,0
9/6/2009,32.4,4.2,745,4480,0
10/6/2009,32,2.7,714,4100,0
11/6/2009,29.4,2.1,704,3980,0
12/6/2009,29.2,2.6,664,3520,1.5
13/6/2009,29.5,2.3,651,3390,27.8
14/6/2009,30.4,3,622,3100,0
15/6/2009,28.8,2.6,599,2870,1.7
16/6/2009,26.8,1,650,3380,17.3
17/6/2009,28.1,2.1,702,3960,0
18/6/2009,30.1,1.9,737,4380,0.2
19/6/2009,31.5,2.7,720,4170,0
20/6/2009,32.6,3.3,707,4020,0
21/6/2009,32.7,3.9,656,3440,0
22/6/2009,32.6,3.4,627,3150,0
23/6/2009,30,2.5,661,3490,52.1
24/6/2009,30.5,2.6,685,3760,0
25/6/2009,30.2,2.2,681,3720,0
26/6/2009,28.9,1.3,673,3620,1.5
27/6/2009,27.8,1.2,687,3790,0.1
28/6/2009,30.1,2.3,709,4040,0
29/6/2009,29.1,2.1,729,4280,9.5
30/6/2009,30.3,2.9,740,4420,0
1/7/2009,29.4,1.6,710,4050,0
2/7/2009,30.8,1.9,763,4710,0.4
3/7/2009,30.2,2.2,811,5360,0
4/7/2009,27.9,1.1,810,5370,10.9
5/7/2009,25.3,0.4,907,7230,21.6
6/7/2009,26.1,0.6,1092,10900,6.9
7/7/2009,27.5,1.4,1177,11500,13.2
8/7/2009,28,2.6,1190,10900,30
9/7/2009,29.7,2,1178,10400,1.5
10/7/2009,30.7,2.4,1163,10100,0
11/7/2009,30.9,2.3,1143,9670,0
12/7/2009,29.1,2,1095,8890,67.2
13/7/2009,26.2,0.5,1073,8560,104
14/7/2009,29.6,1.9,1081,8690,0
15/7/2009,30.6,2.3,1081,8690,0
16/7/2009,29.4,1.8,1056,8340,2.4
17/7/2009,27.1,0.4,1040,8110,52.9
18/7/2009,29,2,1040,8100,3.4
19/7/2009,30.5,2.1,1036,8060,0
20/7/2009,26.8,0.8,1026,7920,61.3
21/7/2009,28.3,1.8,1035,8040,0
22/7/2009,29.6,1.5,994,7510,0
23/7/2009,30.3,2.4,956,7020,0
24/7/2009,30.6,2.1,898,6310,0
25/7/2009,29.5,2.1,865,5920,3.9
26/7/2009,29.1,2,853,5770,4.6
27/7/2009,32,3.9,861,5860,0
28/7/2009,29.8,1.9,850,5770,4
29/7/2009,28.7,1.3,883,6520,1.2
30/7/2009,29.2,1.8,923,7170,2.5
31/7/2009,28.7,1.7,987,7980,7
1/8/2009,27.3,1.1,1016,8250,40
2/8/2009,29.4,1.8,1031,8290,0.6
3/8/2009,30.4,1.8,1032,8160,0
4/8/2009,31.6,2.1,1021,7990,0
5/8/2009,29.4,2.5,1003,7710,30.9
6/8/2009,29.8,2.2,999,7660,17.6
7/8/2009,28.9,1.7,1010,7820,5.1
8/8/2009,31.1,3.3,1015,7890,0
9/8/2009,32,4.8,951,7010,0
10/8/2009,31.5,2.9,865,5920,0
11/8/2009,27.8,1.7,817,5350,19.4
12/8/2009,28.7,2.2,794,5070,0
13/8/2009,28.4,1.6,786,4980,0
14/8/2009,26.7,0.6,775,4850,100
15/8/2009,27.4,1.3,755,4610,5.1
16/8/2009,28.1,1.5,763,4710,1.9
17/8/2009,28,1.8,797,5170,24.5
18/8/2009,29.5,2.4,833,5680,0
19/8/2009,29.7,1.8,844,5840,0
20/8/2009,29.3,2.1,827,5590,0
21/8/2009,28.8,1.8,806,5290,0
22/8/2009,27.1,1.3,789,5060,14.5
23/8/2009,29,1.9,799,5200,0
24/8/2009,30,2.5,779,4920,0
25/8/2009,30.1,1.9,776,4880,0
26/8/2009,29.7,2,772,4830,0
27/8/2009,30.2,2.4,767,4760,0
28/8/2009,30.1,2.3,776,4880,0
29/8/2009,29.2,1.6,785,5000,17.9
30/8/2009,27.7,1.3,773,4840,21.1
31/8/2009,28.5,1.8,773,4840,0
1/9/2009,29,1.8,760,4670,0
2/9/2009,29.3,1.9,738,4390,0
3/9/2009,29.2,2.2,693,3850,0
4/9/2009,29.3,2.4,680,3710,0
5/9/2009,29.5,2,684,3750,0.2
6/9/2009,29.6,2.5,692,3840,0
7/9/2009,30.1,2.3,686,3770,0
8/9/2009,30.5,2.9,695,3880,0
9/9/2009,30.5,2.7,671,3600,0
10/9/2009,29.9,2.6,643,3310,0
11/9/2009,28.7,2.2,640,3280,4.4
12/9/2009,26,0.8,643,3310,24
13/9/2009,28.3,0.9,645,3330,6.4
